station_name,start_rides,station_lat,station_lng,end_rides,total_activity,net_inflow,abs_net_inflow,imbalance_ratio,imbalance_type
1 Ave & E 110 St,797,40.7923272,-73.9383,880,1677,83,83,0.0494931425163983,net_inflow_accumulation
1 Ave & E 118 St,581,40.797459,-73.934499,725,1306,144,144,0.1102603369065849,net_inflow_accumulation
1 Ave & E 16 St,1923,40.73221853,-73.98165557,2258,4181,335,335,0.0801243721597703,net_inflow_accumulation
1 Ave & E 18 St,2380,40.73381219196632,-73.98054420948029,2964,5344,584,584,0.1092814371257485,net_inflow_accumulation
1 Ave & E 30 St,1363,40.74144387,-73.97536082,1086,2449,-277,277,-0.1131073907717435,net_outflow_shortage
1 Ave & E 38 St,2394,40.746202,-73.971822,2592,4986,198,198,0.03971119133574,net_inflow_accumulation
1 Ave & E 39 St,2153,40.74714,-73.97113,2045,4198,-108,108,-0.0257265364459266,net_outflow_shortage
1 Ave & E 44 St,577,40.75001986,-73.96905301,264,841,-313,313,-0.3721759809750297,net_outflow_shortage
1 Ave & E 6 St,1948,40.72633085971696,-73.98616880178452,2904,4852,956,956,0.1970321516900247,net_inflow_accumulation
1 Ave & E 62 St,3227,40.7612274,-73.96094022,3212,6439,-15,15,-0.0023295542786146,net_outflow_shortage
1 Ave & E 68 St,4872,40.76500525,-73.95818491,2494,7366,-2378,2378,-0.3228346456692913,net_outflow_shortage
1 Ave & E 94 St,636,40.7817212,-73.94594,823,1459,187,187,0.1281699794379712,net_inflow_accumulation
1 Pl & Clinton St,576,40.6809591,-73.99905709,836,1412,260,260,0.1841359773371104,net_inflow_accumulation
1 St & 6 Ave,536,40.672784,-73.979826,690,1226,154,154,0.1256117455138662,net_inflow_accumulation
10 Ave & W 14 St,4337,40.74198159994023,-74.00831580162048,4228,8565,-109,109,-0.0127262113251605,net_outflow_shortage
10 Ave & W 202 St,73,40.861281970750994,-73.921417593956,109,182,36,36,0.1978021978021978,net_inflow_accumulation
10 Ave & W 204 St,36,40.862638,-73.92006,90,126,54,54,0.4285714285714285,net_inflow_accumulation
10 Ave & W 207 St,121,40.864632,-73.918598,131,252,10,10,0.0396825396825396,net_inflow_accumulation
10 Ave & W 215 St,61,40.86932465640094,-73.91519755125046,55,116,-6,6,-0.0517241379310344,net_outflow_shortage
10 Ave & W 28 St,2452,40.75066386,-74.00176802,2448,4900,-4,4,-0.0008163265306122,net_outflow_shortage
10 St & 2 Ave,554,40.671907,-73.993612,445,999,-109,109,-0.1091091091091091,net_outflow_shortage
10 St & 4 Ave,654,40.66967356370341,-73.98898908183764,645,1299,-9,9,-0.0069284064665127,net_outflow_shortage
10 St & 5 Ave,647,40.6686273,-73.98700053,667,1314,20,20,0.015220700152207,net_inflow_accumulation
10 St & 7 Ave,1181,40.6662078,-73.98199886,1333,2514,152,152,0.0604614160700079,net_inflow_accumulation
100 St & 37 Ave,52,40.75243,-73.86717,52,104,0,0,0.0,balanced
100 St & Humphreys St,89,40.76574,-73.87012,103,192,14,14,0.0729166666666666,net_inflow_accumulation
100 St & Lewis Ave,49,40.73988,-73.86012,71,120,22,22,0.1833333333333333,net_inflow_accumulation
100 St & Northern Blvd,51,40.75748,-73.86843,62,113,11,11,0.0973451327433628,net_inflow_accumulation
102 St & 34 Ave,78,40.75584,-73.86621,98,176,20,20,0.1136363636363636,net_inflow_accumulation
103 St & 41 Ave,110,40.74875,-73.86285,82,192,-28,28,-0.1458333333333333,net_outflow_shortage
103 St & Martense Ave,63,40.74046,-73.8565,92,155,29,29,0.1870967741935484,net_inflow_accumulation
104 St & 32 Ave,66,40.75951,-73.86491,81,147,15,15,0.1020408163265306,net_inflow_accumulation
104 St & 38 Ave,59,40.75138,-73.86242,52,111,-7,7,-0.063063063063063,net_outflow_shortage
104 St & Northern Blvd,76,40.75755,-73.86454,77,153,1,1,0.0065359477124183,net_inflow_accumulation
107 St & 32 Ave,27,40.75996,-73.86224,53,80,26,26,0.325,net_inflow_accumulation
108 St & 39 Ave,44,40.75165,-73.85915,61,105,17,17,0.1619047619047619,net_inflow_accumulation
11 Ave & Prospect Ave,463,40.65629,-73.977335,522,985,59,59,0.0598984771573604,net_inflow_accumulation
11 Ave & W 27 St,3463,40.751396,-74.005226,3352,6815,-111,111,-0.0162876008804108,net_outflow_shortage
11 Ave & W 41 St,5040,40.76030096,-73.99884222,5629,10669,589,589,0.055206673540163,net_inflow_accumulation
11 Ave & W 59 St,2245,40.77149671054441,-73.99046033620834,2739,4984,494,494,0.0991171749598715,net_inflow_accumulation
11 St & 43 Ave,76,40.7519071,-73.9479119,51,127,-25,25,-0.1968503937007874,net_outflow_shortage
11 St & 44 Rd,537,40.749207,-73.949373,504,1041,-33,33,-0.031700288184438,net_outflow_shortage
11 St & Washington St,0,40.74998490907138,-74.02715027332306,6,6,6,6,1.0,net_inflow_accumulation
111 St & 37 Ave,33,40.75397,-73.85748,37,70,4,4,0.0571428571428571,net_inflow_accumulation
111 St & 49 Ave,138,40.74612,-73.85272,171,309,33,33,0.1067961165048543,net_inflow_accumulation
111 St & 53 Ave,143,40.74336,-73.85129,164,307,21,21,0.0684039087947882,net_inflow_accumulation
111 St & Roosevelt Ave,72,40.75147,-73.8557,82,154,10,10,0.0649350649350649,net_inflow_accumulation
112 St & Northern Blvd,46,40.75788,-73.85763,64,110,18,18,0.1636363636363636,net_inflow_accumulation
114 St & 39 Ave,30,40.7532,-73.853,37,67,7,7,0.1044776119402985,net_inflow_accumulation
12 Ave & 36 St,151,40.643546,-73.986418,166,317,15,15,0.0473186119873817,net_inflow_accumulation
12 Ave & W 125 St,1158,40.818299,-73.960405,1015,2173,-143,143,-0.0658076392084675,net_outflow_shortage
12 Ave & W 40 St,4484,40.76087502,-74.00277668,5329,9813,845,845,0.0861102618974829,net_inflow_accumulation
12 St & 4 Ave,439,40.668603,-73.9904394,463,902,24,24,0.0266075388026607,net_inflow_accumulation
12 St & Sinatra Dr N,0,40.75060414236896,-74.02402013540268,14,14,14,14,1.0,net_inflow_accumulation
