station_name,start_rides,station_lat,station_lng,end_rides,total_activity,net_inflow,abs_net_inflow,imbalance_ratio,imbalance_type
1 Ave & E 110 St,2728,40.7923272,-73.9383,2744,5472,16,16,0.0029239766081871,net_inflow_accumulation
1 Ave & E 118 St,2040,40.797459,-73.934499,2053,4093,13,13,0.0031761544099682,net_inflow_accumulation
1 Ave & E 16 St,6963,40.73221853,-73.98165557,6697,13660,-266,266,-0.0194729136163982,net_outflow_shortage
1 Ave & E 18 St,7443,40.73381219196632,-73.98054420948029,7455,14898,12,12,0.0008054772452678,net_inflow_accumulation
1 Ave & E 30 St,5422,40.74144387,-73.97536082,5436,10858,14,14,0.0012893718916927,net_inflow_accumulation
1 Ave & E 38 St,7215,40.746202,-73.971822,7416,14631,201,201,0.0137379536600369,net_inflow_accumulation
1 Ave & E 39 St,6078,40.74714,-73.97113,5890,11968,-188,188,-0.0157085561497326,net_outflow_shortage
1 Ave & E 44 St,1644,40.75001986,-73.96905301,1686,3330,42,42,0.0126126126126126,net_inflow_accumulation
1 Ave & E 6 St,7289,40.72633085971696,-73.98616880178452,7287,14576,-2,2,-0.0001372118551042,net_outflow_shortage
1 Ave & E 62 St,8655,40.7612274,-73.96094022,8686,17341,31,31,0.0017876708378986,net_inflow_accumulation
1 Ave & E 68 St,12133,40.76500525,-73.95818491,12192,24325,59,59,0.0024254881808838,net_inflow_accumulation
1 Ave & E 94 St,2379,40.7817212,-73.94594,2401,4780,22,22,0.004602510460251,net_inflow_accumulation
1 Pl & Clinton St,2167,40.6809591,-73.99905709,2179,4346,12,12,0.0027611596870685,net_inflow_accumulation
1 St & 6 Ave,1939,40.672784,-73.979826,1951,3890,12,12,0.0030848329048843,net_inflow_accumulation
10 Ave & W 14 St,11414,40.74198159994023,-74.00831580162048,11499,22913,85,85,0.0037096844586042,net_inflow_accumulation
10 Ave & W 202 St,303,40.861281970750994,-73.921417593956,310,613,7,7,0.0114192495921696,net_inflow_accumulation
10 Ave & W 204 St,209,40.862638,-73.92006,206,415,-3,3,-0.0072289156626506,net_outflow_shortage
10 Ave & W 207 St,484,40.864632,-73.918598,502,986,18,18,0.0182555780933062,net_inflow_accumulation
10 Ave & W 215 St,220,40.86932465640094,-73.91519755125046,226,446,6,6,0.0134529147982062,net_inflow_accumulation
10 Ave & W 28 St,7173,40.75066386,-74.00176802,7213,14386,40,40,0.002780481023217,net_inflow_accumulation
10 St & 2 Ave,1336,40.671907,-73.993612,1343,2679,7,7,0.0026129152668906,net_inflow_accumulation
10 St & 4 Ave,2128,40.66967356370341,-73.98898908183764,2147,4275,19,19,0.0044444444444444,net_inflow_accumulation
10 St & 5 Ave,2168,40.6686273,-73.98700053,2179,4347,11,11,0.0025304807913503,net_inflow_accumulation
10 St & 7 Ave,3959,40.6662078,-73.98199886,3971,7930,12,12,0.0015132408575031,net_inflow_accumulation
100 St & 37 Ave,205,40.75243,-73.86717,209,414,4,4,0.0096618357487922,net_inflow_accumulation
100 St & Humphreys St,193,40.76574,-73.87012,197,390,4,4,0.0102564102564102,net_inflow_accumulation
100 St & Lewis Ave,185,40.73988,-73.86012,188,373,3,3,0.0080428954423592,net_inflow_accumulation
100 St & Northern Blvd,204,40.75748,-73.86843,205,409,1,1,0.0024449877750611,net_inflow_accumulation
102 St & 34 Ave,270,40.75584,-73.86621,274,544,4,4,0.0073529411764705,net_inflow_accumulation
103 St & 41 Ave,291,40.74875,-73.86285,292,583,1,1,0.0017152658662092,net_inflow_accumulation
103 St & Martense Ave,251,40.74046,-73.8565,252,503,1,1,0.0019880715705765,net_inflow_accumulation
104 St & 32 Ave,271,40.75951,-73.86491,253,524,-18,18,-0.0343511450381679,net_outflow_shortage
104 St & 38 Ave,206,40.75138,-73.86242,214,420,8,8,0.019047619047619,net_inflow_accumulation
104 St & Northern Blvd,237,40.75755,-73.86454,240,477,3,3,0.0062893081761006,net_inflow_accumulation
107 St & 32 Ave,155,40.75996,-73.86224,165,320,10,10,0.03125,net_inflow_accumulation
108 St & 39 Ave,210,40.75165,-73.85915,219,429,9,9,0.0209790209790209,net_inflow_accumulation
11 Ave & Prospect Ave,1470,40.65629,-73.977335,1491,2961,21,21,0.0070921985815602,net_inflow_accumulation
11 Ave & W 27 St,8973,40.751396,-74.005226,9000,17973,27,27,0.0015022533800701,net_inflow_accumulation
11 Ave & W 41 St,14200,40.76030096,-73.99884222,14212,28412,12,12,0.0004223567506687,net_inflow_accumulation
11 Ave & W 59 St,6534,40.77149671054441,-73.99046033620834,7124,13658,590,590,0.0431981256406501,net_inflow_accumulation
11 St & 43 Ave,212,40.7519071,-73.9479119,214,426,2,2,0.0046948356807511,net_inflow_accumulation
11 St & 44 Rd,1467,40.749207,-73.949373,1451,2918,-16,16,-0.0054832076764907,net_outflow_shortage
11 St & Washington St,0,40.74998490907138,-74.02715027332306,8,8,8,8,1.0,net_inflow_accumulation
111 St & 37 Ave,132,40.75397,-73.85748,139,271,7,7,0.025830258302583,net_inflow_accumulation
111 St & 49 Ave,414,40.74612,-73.85272,419,833,5,5,0.0060024009603841,net_inflow_accumulation
111 St & 53 Ave,329,40.74336,-73.85129,342,671,13,13,0.0193740685543964,net_inflow_accumulation
111 St & Roosevelt Ave,222,40.75147,-73.8557,227,449,5,5,0.0111358574610244,net_inflow_accumulation
112 St & Northern Blvd,219,40.75788,-73.85763,228,447,9,9,0.0201342281879194,net_inflow_accumulation
114 St & 39 Ave,116,40.7532,-73.853,135,251,19,19,0.0756972111553784,net_inflow_accumulation
12 Ave & 36 St,478,40.643546,-73.986418,486,964,8,8,0.0082987551867219,net_inflow_accumulation
12 Ave & W 125 St,2838,40.818299,-73.960405,2845,5683,7,7,0.0012317437972901,net_inflow_accumulation
12 Ave & W 40 St,12520,40.76087502,-74.00277668,12677,25197,157,157,0.0062309005040282,net_inflow_accumulation
12 St & 4 Ave,1280,40.668603,-73.9904394,1299,2579,19,19,0.0073671965878247,net_inflow_accumulation
12 St & Sinatra Dr N,0,40.75060414236896,-74.02402013540268,23,23,23,23,1.0,net_inflow_accumulation
14 St & 5 Ave,2593,40.666287,-73.98895053,2629,5222,36,36,0.006893910379165,net_inflow_accumulation
14 St & 7 Ave,3138,40.663779,-73.98396846,3157,6295,19,19,0.0030182684670373,net_inflow_accumulation
14 St Ferry - 14 St & Shipyard Ln,0,40.75296063046496,-74.02435272932053,51,51,51,51,1.0,net_inflow_accumulation
16 St & 4 Ave,1227,40.666197,-73.992466,1256,2483,29,29,0.0116794200563834,net_inflow_accumulation
17 St & 5 Ave,1985,40.663493,-73.991007,1985,3970,0,0,0.0,balanced
18 St & 27 Ave,1447,40.772768286288304,-73.92743647098541,1434,2881,-13,13,-0.0045123221103783,net_outflow_shortage
19 St & 24 Ave,1074,40.7774552,-73.9225403,1101,2175,27,27,0.0124137931034482,net_inflow_accumulation
19 St & 8 Ave,400,40.658489,-73.985543,397,797,-3,3,-0.0037641154328732,net_outflow_shortage
190 Morgan,0,40.711071680975735,-73.9320957361997,1,1,1,1,1.0,net_inflow_accumulation
2 Ave & 32 St,130,40.659176,-74.006584,144,274,14,14,0.0510948905109489,net_inflow_accumulation
2 Ave & 36 St,468,40.65708866668485,-74.00870203971863,515,983,47,47,0.0478128179043743,net_inflow_accumulation
2 Ave & 37 St,495,40.65624,-74.00933,542,1037,47,47,0.0453230472516875,net_inflow_accumulation
2 Ave & E 122 St,1178,40.8006721,-73.9349,1208,2386,30,30,0.0125733445096395,net_inflow_accumulation
2 Ave & E 125 St,1726,40.802554,-73.933509,1741,3467,15,15,0.0043265070666282,net_inflow_accumulation
